Floor Level,Layer,Materials,Mass,Volume,Green Book EC,EPiC EC,ICE EC
LEVEL 03,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,320540.7208,473.4718,339952.7524,813424.5523999999,163475.767608
LEVEL 03,2 COLOUMNS-TIMBER,TIMBER - STRUCTURAL,71965.6416,106.3008,76323.97439999999,182624.7744,36702.477216
LEVEL 03,2 COLUMNS - CONC,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 03,2 COLUMNS - CONC,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 03,2 SLABS - CONC,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 03,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 03,2 SLABS TIMBER,TIMBER - STRUCTURAL,160536.4142,237.1292,170258.76559999998,407387.9656,81873.571242
LEVEL 03,2 STAIRS/RAMPS,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 03,2 STAIRS/RAMPS,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 03,2 STAIRS/RAMPS,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 03,2 STAIRS/RAMPS,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
LEVEL 03,2 WALLS - CONC,Concrete,161547.98112289625,70.85127201565557,45557.36790606653,42510.76320939334,29296.59712622309
LEVEL 03,2 WALLS - CONC,Reinforcement Bar,12236.014677103754,1.5587279843444293,35484.44256360089,35484.44256360089,24349.669207436473
LEVEL 04,2 BEAMS - CONC,Concrete,9452.44520943669,4.315840154068368,2775.0852190659607,2589.504092441021,1784.5753034183922
LEVEL 04,2 BEAMS - CONC,Reinforcement Bar,1304.3547905633095,0.1661598459316318,3782.6288926335974,3782.6288926335974,2595.666033220986
LEVEL 04,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,291814.8438,431.0404,309487.0072,740527.4072,148825.570338
LEVEL 04,2 COLOUMNS-TIMBER,TIMBER - STRUCTURAL,70113.3696,103.5648,74359.5264,177924.32640000002,35757.818496
LEVEL 04,2 COLUMNS - CONC,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 04,2 COLUMNS - CONC,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 04,2 SLABS - CONC,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 04,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 04,2 SLABS TIMBER,TIMBER - STRUCTURAL,153322.3014,226.4732,162607.75759999998,389080.95759999997,78194.373714
LEVEL 04,2 STAIRS/RAMPS,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 04,2 STAIRS/RAMPS,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 04,2 STAIRS/RAMPS,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 04,2 STAIRS/RAMPS,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
LEVEL 04,2 WALLS - CONC,Concrete,161547.98112289625,70.85127201565557,45557.36790606653,42510.76320939334,29296.59712622309
LEVEL 04,2 WALLS - CONC,Reinforcement Bar,12236.014677103754,1.5587279843444293,35484.44256360089,35484.44256360089,24349.669207436473
LEVEL 05,2 BEAMS - CONC,Concrete,9452.44520943669,4.315840154068368,2775.0852190659607,2589.504092441021,1784.5753034183922
LEVEL 05,2 BEAMS - CONC,Reinforcement Bar,1304.3547905633095,0.1661598459316318,3782.6288926335974,3782.6288926335974,2595.666033220986
LEVEL 05,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,281089.6542,415.1994,298113.1692,713312.5692,143355.723642
LEVEL 05,2 COLOUMNS-TIMBER,TIMBER - STRUCTURAL,69109.2432,102.0816,73294.5888,175376.1888,35245.714031999996
LEVEL 05,2 COLUMNS - CONC,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 05,2 COLUMNS - CONC,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 05,2 SLABS - CONC,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 05,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
LEVEL 05,2 SLABS TIMBER,TIMBER - STRUCTURAL,151216.0739,223.362,160373.916,383735.91599999997,77120.197689
LEVEL 05,2 STAIRS/RAMPS,Concrete,7216.942637964775,11.190998043052838,7195.811741682975,6714.598825831703,4627.413902113503
LEVEL 05,2 STAIRS/RAMPS,Reinforcement Bar,1932.6853620352258,0.24620195694716251,5604.787549902155,5604.787549902155,3846.0438704500993
LEVEL 05,2 STAIRS/RAMPS,Concrete,8505.433342465754,3.73013698630137,2398.4780821917807,2238.082191780822,1542.3903820547946
LEVEL 05,2 STAIRS/RAMPS,Reinforcement Bar,644.1946575342463,0.08206301369863,1868.1645068493142,1868.1645068493142,1281.9473684931502
LEVEL 05,2 WALLS - CONC,Concrete,161547.98112289625,70.85127201565557,45557.36790606653,42510.76320939334,29296.59712622309
LEVEL 05,2 WALLS - CONC,Reinforcement Bar,12236.014677103754,1.5587279843444293,35484.44256360089,35484.44256360089,24349.669207436473
LEVEL 06,2 BEAMS - CONC,Concrete,9452.44520943669,4.315840154068368,2775.0852190659607,2589.504092441021,1784.5753034183922
LEVEL 06,2 BEAMS - CONC,Reinforcement Bar,1304.3547905633095,0.1661598459316318,3782.6288926335974,3782.6288926335974,2595.666033220986
LEVEL 06,2 BEAMS-TIMBER,TIMBER - STRUCTURAL,277636.577,410.0982,294450.5076,704548.7076000001,141594.65427
LEVEL 06,2 COLOUMNS-TIMBER,TIMBER - STRUCTURAL,65867.7672,97.2936,69856.8048,167150.4048,33592.561272
LEVEL 06,2 COLUMNS - CONC,Concrete,21610.77886647455,9.928914505283382,6384.292026897215,5957.348703170029,4105.5495531219985
LEVEL 06,2 COLUMNS - CONC,Reinforcement Bar,3195.621133525452,0.40708549471661826,9267.30128722381,9267.30128722381,6359.286055715649
LEVEL 06,2 SLABS - CONC,Concrete,81687.17614876606,35.07166831194472,22551.082724580454,21043.000987166834,14501.934938479764
LEVEL 06,2 SLABS - CONC,Reinforcement Bar,3579.0637512339454,0.45593168805527995,10379.28487857844,10379.28487857844,7122.336864955551
