Category,Sub-Category,Material Section,material name,material variant name,GWP,units,locations,density
Basic Materials,Formwork,Steel,Steel Formwork,"0.6mm Galvanised, Virgin",0.013,m2,United States or  Canada,0
Basic Materials,Formwork,Steel,Steel Formwork,"0.75mm Galvanised, Virgin",0.032,m2,Australia,0
Basic Materials,Formwork,Steel,Steel Formwork,"0.75mm Galvanised, Virgin",0.012,m2,Europe,0
Basic Materials,Formwork,Steel,Steel Formwork,"0.75mm Galvanised, Virgin",0.02,m2,United Kingdom,0
Basic Materials,Formwork,Steel,Steel Formwork,"0.75mm Galvanised, Virgin",0.015,m2,United States or  Canada,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Up to 50% Recycled Content",0.013,m2,Europe,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Up to 50% Recycled Content",0.022,m2,United Kingdom,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Up to 50% Recycled Content",0.016,m2,United States or  Canada,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Virgin",0.041,m2,Australia,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Virgin",0.015,m2,Europe,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Virgin",0.025,m2,United Kingdom,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Over 50% Recycled Content",0.031,m2,Australia,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Over 50% Recycled Content",0.012,m2,Europe,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Over 50% Recycled Content",0.02,m2,United Kingdom,0
Basic Materials,Formwork,Steel,Steel Formwork,"1.0mm Galvanised, Over 50% Recycled Content",0.015,m2,United States or  Canada,0
Basic Materials,Timber,Timber,Structural Timber,Cross Laminated Timber (CLT),0.645,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,Cross Laminated Timber (CLT),0.108,m3,Europe,0
Basic Materials,Timber,Timber,Structural Timber,Cross Laminated Timber (CLT),0.176,m3,United States or  Canada,0
Basic Materials,Timber,Timber,Structural Timber,Cross Laminated Timber (CLT),0.32,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,Glue-Laminated Timber (Glu-lam),0.718,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,Glue-Laminated Timber (Glu-lam),0.398,m3,Europe,0
Basic Materials,Timber,Timber,Structural Timber,Glue-Laminated Timber (Glu-lam),0.4,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,Glue-Laminated Timber (Glu-lam),0.59,m3,United States or  Canada,0
Basic Materials,Timber,Timber,Structural Timber,"Hardwood, dressed and treated",0.347,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,"Hardwood, dressed and treated",0.24,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,Laminated Veneer Lumber (LVL),1.059,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,Laminated Veneer Lumber (LVL),0.681,m3,Europe,0
Basic Materials,Timber,Timber,Structural Timber,Laminated Veneer Lumber (LVL),0.593,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,Laminated Veneer Lumber (LVL),0.365,m3,United States or  Canada,0
Basic Materials,Timber,Timber,Structural Timber,Medium Density Fibreboard (MDF),0.899,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,Medium Density Fibreboard (MDF),0.858,m3,Europe,0
Basic Materials,Timber,Timber,Structural Timber,Medium Density Fibreboard (MDF),0.877,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,Medium Density Fibreboard (MDF),0.795,m3,United States or  Canada,0
Basic Materials,Timber,Timber,Structural Timber,Plywood,1.777,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,Plywood,0.801,m3,Europe,0
Basic Materials,Timber,Timber,Structural Timber,Plywood,0.443,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,Plywood,0.236,m3,United States or  Canada,0
Basic Materials,Timber,Timber,Structural Timber,"Softwood, dressed and treated",0.198,m3,Australia,0
Basic Materials,Timber,Timber,Structural Timber,"Softwood, dressed and treated",0.052,m3,Europe,0
Basic Materials,Timber,Timber,Structural Timber,"Softwood, dressed and treated",0.16,m3,United Kingdom,0
Basic Materials,Timber,Timber,Structural Timber,"Softwood, dressed and treated",0.088,m3,United States or  Canada,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),10mm,0.057,m2,Australia,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),10mm,0.034,m2,Europe,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),10mm,0.045,m2,United Kingdom,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),10mm,0.041,m2,United States or  Canada,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),12mm,0.068,m2,Australia,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),12mm,0.054,m2,United Kingdom,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),4mm,0.023,m2,Australia,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),4mm,0.019,m2,Europe,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),4mm,0.018,m2,United Kingdom,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),4mm,0.023,m2,United States or  Canada,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),6mm,0.034,m2,Australia,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),6mm,0.025,m2,Europe,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),6mm,0.027,m2,United Kingdom,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),6mm,0.031,m2,United States or  Canada,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),8mm,0.046,m2,Australia,0
Basic Materials,Glass,Glass,Toughened glass clear generic (PA),8mm,0.036,m2,United Kingdom,0
Basic Materials,Aggregate,Aggregate,Water,Grid Potable,0.001,m2,United States or  Canada,0
Basic Materials,Aggregate,Aggregate,Water,Grid Potable,0.001,m2,Australia,0
Basic Materials,Aggregate,Aggregate,Water,Grid Potable,0.001,m2,United Kingdom,0
Basic Materials,Aggregate,Aggregate,Water,Grid Potable,0.001,m2,Europe,0
